"Island","Site","Genus_Code","Site_Genet","Year_STA","Date_STA","Surface_Area_STA","Shape_Area_STA","Shape_Leng_STA","nPatches_STA","Year_END","Date_END","Surface_Area_END","Shape_Area_END","Shape_Leng_END","nPatches_END","TransitionTypeSimple","Interval","Interval_Years","Mortality","Survival"
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00560",2013,2013-09-06,NA,0,0,1,2016,2016-09-02,NA,2.03765004112,5.26320295576,1,"RECR","13_16",2.98973305954825,0,1
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00561",2013,2013-09-06,NA,0,0,1,2016,2016-09-02,NA,0.35669995414,2.52039586679,1,"RECR","13_16",2.98973305954825,0,1
"FFS","OCC-FFS-014","POCS","FFS_OCC_014_00562",2016,2016-09-02,NA,50.7322005755,31.1819458668,1,2019,2019-08-27,NA,65.8433000094,47.620070215,1,"GROWTH","16_19",2.98151950718686,0,1
"FFS","OCC-FFS-014","MOSP","FFS_OCC_014_00563",2016,2016-09-02,NA,1.2522498806,4.51985616444,1,2019,2019-08-27,NA,0,0,1,"MORT","16_19",2.98151950718686,1,0
"FFS","OCC-FFS-014","MOSP","FFS_OCC_014_00564",2016,2016-09-02,NA,5.71830029955,10.0366295568,1,2019,2019-08-27,NA,1.42650000338,4.74871296649,1,"SHRINK","16_19",2.98151950718686,0,1
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00565",2016,2016-09-02,NA,147.289650679,62.9126185452,1,2019,2019-08-27,NA,51.242200331,63.8144613722,3,"SHRINK","16_19",2.98151950718686,0,1
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00566",2016,2016-09-02,NA,152.243700218,67.4251257961,1,2019,2019-08-27,NA,94.42274974836,95.47450748132,3,"SHRINK","16_19",2.98151950718686,0,1
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00567",2016,2016-09-02,NA,8.31319999203,11.0193255203,1,2019,2019-08-27,NA,6.13614982894,11.9283728774,1,"SHRINK","16_19",2.98151950718686,0,1
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00568",2016,2016-09-02,NA,0.95970009035,3.91732798989,1,2019,2019-08-27,NA,0,0,1,"MORT","16_19",2.98151950718686,1,0
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00569",2016,2016-09-02,NA,1.14614993885,5.17761380885,1,2019,2019-08-27,NA,0,0,1,"MORT","16_19",2.98151950718686,1,0
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00570",2016,2016-09-02,NA,1.49539990666,5.26183280534,1,2019,2019-08-27,NA,0,0,1,"MORT","16_19",2.98151950718686,1,0
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00571",2016,2016-09-02,NA,8.56590009043,15.1476571794,1,2019,2019-08-27,NA,0,0,1,"MORT","16_19",2.98151950718686,1,0
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00572",2016,2016-09-02,NA,0.41984999524,2.79904853033,1,2019,2019-08-27,NA,0,0,1,"MORT","16_19",2.98151950718686,1,0
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00573",2016,2016-09-02,NA,1.12414998985,4.13873471174,1,2019,2019-08-27,NA,0,0,1,"MORT","16_19",2.98151950718686,1,0
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00574",2016,2016-09-02,NA,3.35874989455,10.33727369902,2,2019,2019-08-27,NA,5.32100015226,9.01899852581,1,"GROWTH","16_19",2.98151950718686,0,1
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00575",2016,2016-09-02,NA,1.12650000329,4.0615823339,1,2019,2019-08-27,NA,0,0,1,"MORT","16_19",2.98151950718686,1,0
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00576",2016,2016-09-02,NA,17.7089500305,22.9234365534,1,2019,2019-08-27,NA,0,0,1,"MORT","16_19",2.98151950718686,1,0
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00577",2016,2016-09-02,NA,22.7450500611,18.9861612069,1,2019,2019-08-27,NA,0,0,1,"MORT","16_19",2.98151950718686,1,0
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00578",2016,2016-09-02,NA,3.87094996021,7.73647315137,1,2019,2019-08-27,NA,5.15049980719,8.60259618701,1,"GROWTH","16_19",2.98151950718686,0,1
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00579",2016,2016-09-02,NA,8.18254989668,15.5025814675,1,2019,2019-08-27,NA,3.78975003817,11.08926209805,2,"SHRINK","16_19",2.98151950718686,0,1
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00580",2016,2016-09-02,NA,2.01250003669,5.33422209792,1,2019,2019-08-27,NA,0,0,1,"MORT","16_19",2.98151950718686,1,0
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00581",2016,2016-09-02,NA,5.60450011156,10.0610553982,1,2019,2019-08-27,NA,0,0,1,"MORT","16_19",2.98151950718686,1,0
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00582",2016,2016-09-02,NA,5.10699996057,8.73613626403,1,2019,2019-08-27,NA,0,0,1,"MORT","16_19",2.98151950718686,1,0
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00583",2016,2016-09-02,NA,9.06325030805,15.1540648092,1,2019,2019-08-27,NA,0.79075000405,3.52116297346,1,"SHRINK","16_19",2.98151950718686,0,1
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00584",2016,2016-09-02,NA,0.85165002392,3.6692673603,1,2019,2019-08-27,NA,0,0,1,"MORT","16_19",2.98151950718686,1,0
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00585",2016,2016-09-02,NA,30.3892499032,36.7106780226,1,2019,2019-08-27,NA,14.45150003999,24.9386556728,3,"SHRINK","16_19",2.98151950718686,0,1
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00586",2016,2016-09-02,NA,0.43299999014,2.82138179579,1,2019,2019-08-27,NA,0,0,1,"MORT","16_19",2.98151950718686,1,0
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00587",2016,2016-09-02,NA,1.12719986074,4.29822460932,1,2019,2019-08-27,NA,0,0,1,"MORT","16_19",2.98151950718686,1,0
"FFS","OCC-FFS-014","MOSP","FFS_OCC_014_00588",2016,2016-09-02,NA,8.40910004806,12.3019339283,1,2019,2019-08-27,NA,6.39170014582,10.3912707815,1,"SHRINK","16_19",2.98151950718686,0,1
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00589",2016,2016-09-02,NA,3.79595004785,7.68203628762,1,2019,2019-08-27,NA,0,0,1,"MORT","16_19",2.98151950718686,1,0
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00590",2016,2016-09-02,NA,0.75505005828,3.47726025995,1,2019,2019-08-27,NA,0,0,1,"MORT","16_19",2.98151950718686,1,0
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00591",2016,2016-09-02,NA,0.98360003989,3.75085120284,1,2019,2019-08-27,NA,0,0,1,"MORT","16_19",2.98151950718686,1,0
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00592",2016,2016-09-02,NA,0.80019995471,4.54952733098,1,2019,2019-08-27,NA,0,0,1,"MORT","16_19",2.98151950718686,1,0
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00593",2016,2016-09-02,NA,1.79890007321,5.18613294964,1,2019,2019-08-27,NA,0.60344996844,3.15431248647,1,"SHRINK","16_19",2.98151950718686,0,1
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00594",2016,2016-09-02,NA,6.31505002021,9.62416175405,1,2019,2019-08-27,NA,0,0,1,"MORT","16_19",2.98151950718686,1,0
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00595",2016,2016-09-02,NA,37.0022000475,27.4297273401,1,2019,2019-08-27,NA,0,0,1,"MORT","16_19",2.98151950718686,1,0
"FFS","OCC-FFS-014","MOSP","FFS_OCC_014_00596",2016,2016-09-02,NA,201.273100491,66.935137739,1,2019,2019-08-27,NA,0,0,1,"MORT","16_19",2.98151950718686,1,0
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00597",2016,2016-09-02,NA,20.0256499343,19.6632176143,1,2019,2019-08-27,NA,0,0,1,"MORT","16_19",2.98151950718686,1,0
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00598",2016,2016-09-02,NA,1.61564988974,5.50367957787,1,2019,2019-08-27,NA,0,0,1,"MORT","16_19",2.98151950718686,1,0
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00599",2016,2016-09-02,NA,14.9751500099,16.8852881238,1,2019,2019-08-27,NA,0,0,1,"MORT","16_19",2.98151950718686,1,0
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00600",2016,2016-09-02,NA,216.622700103,88.5343799709,1,2019,2019-08-27,NA,69.42289985678,45.74073982498,4,"SHRINK","16_19",2.98151950718686,0,1
"FFS","OCC-FFS-014","MOSP","FFS_OCC_014_00601",2016,2016-09-02,NA,1.25929999634,4.87755025058,1,2019,2019-08-27,NA,0,0,1,"MORT","16_19",2.98151950718686,1,0
"FFS","OCC-FFS-014","MOSP","FFS_OCC_014_00602",2016,2016-09-02,NA,4.21649991731,8.77576451184,1,2019,2019-08-27,NA,0,0,1,"MORT","16_19",2.98151950718686,1,0
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00603",2016,2016-09-02,NA,0.54149996797,2.92190801466,1,2019,2019-08-27,NA,0,0,1,"MORT","16_19",2.98151950718686,1,0
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00604",2016,2016-09-02,NA,774.180700359,172.135455174,1,2019,2019-08-27,NA,742.177699273,306.924300383,1,"SHRINK","16_19",2.98151950718686,0,1
"FFS","OCC-FFS-014","POCS","FFS_OCC_014_00605",2016,2016-09-02,NA,85.1053000911,39.0230637092,1,2019,2019-08-27,NA,94.139649716,54.0982820056,1,"GROWTH","16_19",2.98151950718686,0,1
"FFS","OCC-FFS-014","MOSP","FFS_OCC_014_00606",2016,2016-09-02,NA,50.8638999478,30.6038383063,1,2019,2019-08-27,NA,0,0,1,"MORT","16_19",2.98151950718686,1,0
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00607",2016,2016-09-02,NA,0.34284990946,2.3744593648,1,2019,2019-08-27,NA,0,0,1,"MORT","16_19",2.98151950718686,1,0
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00608",2016,2016-09-02,NA,21.0342497733,19.1431962765,1,2019,2019-08-27,NA,0,0,1,"MORT","16_19",2.98151950718686,1,0
"FFS","OCC-FFS-014","MOSP","FFS_OCC_014_00609",2016,2016-09-02,NA,7.11454992468,10.6759875846,1,2019,2019-08-27,NA,0,0,1,"MORT","16_19",2.98151950718686,1,0
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00610",2016,2016-09-02,NA,6.42169999268,10.8447372037,1,2019,2019-08-27,NA,0,0,1,"MORT","16_19",2.98151950718686,1,0
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00611",2016,2016-09-02,NA,34.2572002773,28.7939132796,1,2019,2019-08-27,NA,13.2368499627,18.385600065,1,"SHRINK","16_19",2.98151950718686,0,1
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00612",2016,2016-09-02,NA,2.1846998768,5.8916582254,1,2019,2019-08-27,NA,3.84510008296,7.33177464253,1,"GROWTH","16_19",2.98151950718686,0,1
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00613",2016,2016-09-02,NA,2.12775000183,5.49074436606,1,2019,2019-08-27,NA,0,0,1,"MORT","16_19",2.98151950718686,1,0
"FFS","OCC-FFS-014","MOSP","FFS_OCC_014_00614",2016,2016-09-02,NA,172.115700413,109.381490014,1,2019,2019-08-27,NA,73.51585046297,82.10482038754,3,"SHRINK","16_19",2.98151950718686,0,1
"FFS","OCC-FFS-014","MOSP","FFS_OCC_014_00615",2016,2016-09-02,NA,33.8105999771,30.2772112488,1,2019,2019-08-27,NA,34.4269000286,34.9891394339,1,"GROWTH","16_19",2.98151950718686,0,1
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00616",2016,2016-09-02,NA,10.7533500124,13.9351044605,1,2019,2019-08-27,NA,0,0,1,"MORT","16_19",2.98151950718686,1,0
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00617",2016,2016-09-02,NA,3.71645009303,7.45867781098,1,2019,2019-08-27,NA,0,0,1,"MORT","16_19",2.98151950718686,1,0
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00618",2016,2016-09-02,NA,1.49250008881,4.61722066208,1,2019,2019-08-27,NA,0,0,1,"MORT","16_19",2.98151950718686,1,0
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00619",2016,2016-09-02,NA,2.57795012772,6.19192512686,1,2019,2019-08-27,NA,0,0,1,"MORT","16_19",2.98151950718686,1,0
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00620",2016,2016-09-02,NA,9320.15799918,1904.65268544,1,2019,2019-08-27,NA,6029.00230207257,3171.15735694208,26,"SHRINK","16_19",2.98151950718686,0,1
"FFS","OCC-FFS-014","MOSP","FFS_OCC_014_00621",2016,2016-09-02,NA,348.96054928,141.437153818,1,2019,2019-08-27,NA,16.86920018408,37.60139370578,4,"SHRINK","16_19",2.98151950718686,0,1
"FFS","OCC-FFS-014","POCS","FFS_OCC_014_00622",2016,2016-09-02,NA,14.5348499314,16.5419820624,1,2019,2019-08-27,NA,0,0,1,"MORT","16_19",2.98151950718686,1,0
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00623",2016,2016-09-02,NA,260.019249874,85.3846930615,1,2019,2019-08-27,NA,0,0,1,"MORT","16_19",2.98151950718686,1,0
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00624",2016,2016-09-02,NA,97.4825997681,40.0145246864,1,2019,2019-08-27,NA,0,0,1,"MORT","16_19",2.98151950718686,1,0
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00625",2016,2016-09-02,NA,21.3822501104,18.0414100935,1,2019,2019-08-27,NA,0,0,1,"MORT","16_19",2.98151950718686,1,0
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00626",2016,2016-09-02,NA,24.8198997634,20.4394287013,1,2019,2019-08-27,NA,0,0,1,"MORT","16_19",2.98151950718686,1,0
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00627",2016,2016-09-02,NA,3.51439999485,7.17471570765,1,2019,2019-08-27,NA,0,0,1,"MORT","16_19",2.98151950718686,1,0
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00628",2016,2016-09-02,NA,27.3142998262,21.6670015783,1,2019,2019-08-27,NA,0,0,1,"MORT","16_19",2.98151950718686,1,0
"FFS","OCC-FFS-014","POCS","FFS_OCC_014_00629",2016,2016-09-02,NA,209.606049807,62.0526513011,1,2019,2019-08-27,NA,0,0,1,"MORT","16_19",2.98151950718686,1,0
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00630",2016,2016-09-02,NA,7.21345009391,10.5160678794,1,2019,2019-08-27,NA,0,0,1,"MORT","16_19",2.98151950718686,1,0
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00631",2016,2016-09-02,NA,251.644050726,88.3187021685,1,2019,2019-08-27,NA,231.021349688,104.882720934,1,"SHRINK","16_19",2.98151950718686,0,1
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00632",2016,2016-09-02,NA,166.467849747,84.5053651236,1,2019,2019-08-27,NA,49.47479989846,70.41618253171,7,"SHRINK","16_19",2.98151950718686,0,1
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00633",2016,2016-09-02,NA,46.1863997481,41.8475299093,1,2019,2019-08-27,NA,5.46150022859,8.80069129178,1,"SHRINK","16_19",2.98151950718686,0,1
